x,y,z,shadow
570521.0877247,49914.1274783904,6545995.36116086,1
563999.779886901,99448.3783076961,6545995.36116086,1
553186.093171785,148225.766929508,6545995.36116086,1
538162.326264736,195875.06796382,6545995.36116086,1
519042.819103515,242033.641458329,6545995.36116086,1
495973.082682294,286350.192797431,6545995.36116086,1
469128.691625125,328487.446266371,6545995.36116086,1
438713.94795704,368124.711923081,6545995.36116086,1
404960.326242277,404960.326242277,6545995.36116086,1
368124.711923081,438713.94795704,6545995.36116086,1
328487.446266371,469128.691625125,6545995.36116086,1
286350.192797431,495973.082682294,6545995.36116086,1
242033.641458329,519042.819103515,6545995.36116086,1
195875.06796382,538162.326264736,6545995.36116086,1
148225.766929508,553186.093171785,6545995.36116086,1
99448.3783076961,563999.779886901,6545995.36116086,1
49914.1274783905,570521.0877247,6545995.36116086,1
3.50677847044601e-11,572700.385594862,6545995.36116086,1
-49914.1274783903,570521.0877247,6545995.36116086,1
-99448.3783076961,563999.779886901,6545995.36116086,1
-148225.766929507,553186.093171785,6545995.36116086,1
-195875.06796382,538162.326264736,6545995.36116086,1
-242033.641458329,519042.819103515,6545995.36116086,1
-286350.192797431,495973.082682294,6545995.36116086,1
-328487.446266371,469128.691625125,6545995.36116086,1
-368124.711923081,438713.94795704,6545995.36116086,1
-404960.326242277,404960.326242277,6545995.36116086,1
-438713.94795704,368124.711923081,6545995.36116086,1
-469128.691625125,328487.446266371,6545995.36116086,1
-495973.082682294,286350.192797431,6545995.36116086,1
-519042.819103515,242033.641458329,6545995.36116086,1
-538162.326264736,195875.06796382,6545995.36116086,1
-553186.093171785,148225.766929508,6545995.36116086,1
-563999.779886901,99448.3783076963,6545995.36116086,1
-570521.0877247,49914.1274783904,6545995.36116086,1
-572700.385594862,7.01355694089202e-11,6545995.36116086,1
-570521.0877247,-49914.1274783903,6545995.36116086,1
-563999.779886901,-99448.3783076959,6545995.36116086,1
-553186.093171785,-148225.766929508,6545995.36116086,1
-538162.326264736,-195875.06796382,6545995.36116086,1
-519042.819103515,-242033.641458329,6545995.36116086,1
-495973.082682294,-286350.192797431,6545995.36116086,1
-469128.691625125,-328487.446266371,6545995.36116086,1
-438713.94795704,-368124.711923081,6545995.36116086,1
-404960.326242277,-404960.326242277,6545995.36116086,1
-368124.711923081,-438713.94795704,6545995.36116086,1
-328487.446266371,-469128.691625125,6545995.36116086,1
-286350.192797431,-495973.082682294,6545995.36116086,1
-242033.641458329,-519042.819103515,6545995.36116086,1
-195875.067963821,-538162.326264736,6545995.36116086,1
-148225.766929507,-553186.093171785,6545995.36116086,1
-99448.3783076961,-563999.779886901,6545995.36116086,1
-49914.1274783905,-570521.0877247,6545995.36116086,1
-1.0520335411338e-10,-572700.385594862,6545995.36116086,1
49914.1274783903,-570521.0877247,6545995.36116086,1
99448.3783076959,-563999.779886901,6545995.36116086,1
148225.766929507,-553186.093171785,6545995.36116086,1
195875.06796382,-538162.326264736,6545995.36116086,1
242033.641458328,-519042.819103516,6545995.36116086,1
286350.192797431,-495973.082682294,6545995.36116086,1
328487.446266371,-469128.691625125,6545995.36116086,1
368124.711923081,-438713.94795704,6545995.36116086,1
404960.326242277,-404960.326242277,6545995.36116086,1
438713.94795704,-368124.711923081,6545995.36116086,1
469128.691625125,-328487.446266371,6545995.36116086,1
495973.082682294,-286350.192797431,6545995.36116086,1
519042.819103515,-242033.641458329,6545995.36116086,1
538162.326264736,-195875.067963821,6545995.36116086,1
553186.093171785,-148225.766929508,6545995.36116086,1
563999.779886901,-99448.3783076961,6545995.36116086,1
1136700.16548176,99448.3783076961,6471171.74504322,1
1123707.18089648,198139.894407898,6471171.74504322,1
1102162.10615164,295323.446271516,6471171.74504322,1
1072228.9122753,390259.408387836,6471171.74504322,1
1034135.40894703,482225.260761251,6471171.74504322,1
988171.51072864,570521.0877247,6471171.74504322,1
934687.030639334,654474.904720512,6471171.74504322,1
874089.017867402,733447.772508648,6471171.74504322,1
806838.659880121,806838.65988012,6471171.74504322,1
733447.772508648,874089.017867402,6471171.74504322,1
654474.904720512,934687.030639334,6471171.74504322,1
570521.0877247,988171.51072864,6471171.74504322,1
482225.260761251,1034135.40894703,6471171.74504322,1
390259.408387836,1072228.9122753,6471171.74504322,1
295323.446271516,1102162.10615164,6471171.74504322,1
198139.894407898,1123707.18089648,6471171.74504322,1
99448.3783076963,1136700.16548176,6471171.74504322,1
6.9868682392812e-11,1141042.1754494,6471171.74504322,1
-99448.3783076959,1136700.16548176,6471171.74504322,1
-198139.894407898,1123707.18089648,6471171.74504322,1
-295323.446271516,1102162.10615164,6471171.74504322,1
-390259.408387836,1072228.9122753,6471171.74504322,1
-482225.260761251,1034135.40894703,6471171.74504322,1
-570521.087724699,988171.51072864,6471171.74504322,1
-654474.904720511,934687.030639334,6471171.74504322,1
-733447.772508648,874089.017867402,6471171.74504322,1
-806838.65988012,806838.659880121,6471171.74504322,1
-874089.017867402,733447.772508648,6471171.74504322,1
-934687.030639334,654474.904720512,6471171.74504322,1
-988171.51072864,570521.0877247,6471171.74504322,1
-1034135.40894703,482225.260761251,6471171.74504322,1
-1072228.9122753,390259.408387837,6471171.74504322,1
-1102162.10615164,295323.446271517,6471171.74504322,1
-1123707.18089648,198139.894407898,6471171.74504322,1
-1136700.16548176,99448.3783076961,6471171.74504322,1
-1141042.1754494,1.39737364785624e-10,6471171.74504322,1
-1136700.16548176,-99448.3783076958,6471171.74504322,1
-1123707.18089648,-198139.894407898,6471171.74504322,1
-1102162.10615164,-295323.446271516,6471171.74504322,1
-1072228.9122753,-390259.408387836,6471171.74504322,1
-1034135.40894703,-482225.260761251,6471171.74504322,1
-988171.51072864,-570521.087724699,6471171.74504322,1
-934687.030639334,-654474.904720511,6471171.74504322,1
-874089.017867402,-733447.772508648,6471171.74504322,1
-806838.659880121,-806838.65988012,6471171.74504322,1
-733447.772508648,-874089.017867402,6471171.74504322,1
-654474.904720512,-934687.030639334,6471171.74504322,1
-570521.0877247,-988171.51072864,6471171.74504322,1
-482225.260761252,-1034135.40894703,6471171.74504322,1
-390259.408387837,-1072228.9122753,6471171.74504322,1
-295323.446271516,-1102162.10615164,6471171.74504322,1
-198139.894407898,-1123707.18089648,6471171.74504322,1
-99448.3783076962,-1136700.16548176,6471171.74504322,1
-2.09606047178436e-10,-1141042.1754494,6471171.74504322,1
99448.3783076958,-1136700.16548176,6471171.74504322,1
198139.894407898,-1123707.18089648,6471171.74504322,1
295323.446271516,-1102162.10615164,6471171.74504322,1
390259.408387836,-1072228.9122753,6471171.74504322,1
482225.260761251,-1034135.40894703,6471171.74504322,1
570521.0877247,-988171.51072864,6471171.74504322,1
654474.904720512,-934687.030639334,6471171.74504322,1
733447.772508648,-874089.017867402,6471171.74504322,1
806838.65988012,-806838.659880121,6471171.74504322,1
874089.017867402,-733447.772508648,6471171.74504322,1
934687.030639334,-654474.904720512,6471171.74504322,1
988171.51072864,-570521.0877247,6471171.74504322,1
1034135.40894703,-482225.260761252,6471171.74504322,1
1072228.9122753,-390259.408387837,6471171.74504322,1
1102162.10615164,-295323.446271516,6471171.74504322,1
1123707.18089648,-198139.894407898,6471171.74504322,1
1694228.26862118,148225.766929508,6347098.60454547,0.319584281593542
1674862.4917465,295323.446271516,6347098.60454547,0.359364948683133
1642750,440173.535866227,6347098.60454547,0.426440254150703
1598135.18883393,581673.639068947,6347098.60454547,0.520582588081496
1541357.60390043,718746.854654207,6347098.60454547,0.638990275464184
1472849.35690407,850349.972684332,6347098.60454547,0.773992466443593
1393131.83697092,975481.413966977,6347098.60454547,0.908906521809398
1302811.74256241,1093188.85267755,6347098.60454547,1
